Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.insert (powers of two).HashMapUL.512,701521,25990,1039,1,52428800
All.insert (powers of two).HashMapUB.512,282945,12402,1040,1,52428800
All.insert (powers of two).HashMapUU.512,113699,2426,1000,1,52428800
All.insert (powers of two).Data_HashMap_Lazy.1024,4709893,269172,715,1,52428800
All.insert (powers of two).Data_HashMap_Strict.1024,6173507,370120,715,1,53477376
All.insert (powers of two).HashMapBL.1024,1403186,112158,1384,1,53477376
All.insert (powers of two).HashMapBB.1024,939519,93208,1388,1,53477376
All.insert (powers of two).HashMapBU.1024,461054,28864,1385,1,53477376
All.insert (powers of two).HashMapUL.1024,1330598,56432,1388,1,53477376
All.insert (powers of two).HashMapUB.1024,455671,21422,1384,1,53477376
All.insert (powers of two).HashMapUU.1024,166267,6862,1343,1,53477376
All.Lookup (small).Data_HashMap_Lazy.0,7376,472,31,0,53477376
All.Lookup (small).Data_HashMap_Strict.0,6972,648,32,0,53477376
All.Lookup (small).HashMapBL.0,6381,408,31,0,53477376
All.Lookup (small).HashMapBB.0,5844,264,31,0,53477376
All.Lookup (small).HashMapBU.0,6510,562,31,0,53477376
All.Lookup (small).HashMapUL.0,6914,676,31,0,53477376
All.Lookup (small).HashMapUB.0,7098,428,32,0,53477376
All.Lookup (small).HashMapUU.0,6259,162,31,0,53477376
All.Lookup (small).Data_HashMap_Lazy.1,6530,590,32,0,53477376
All.Lookup (small).Data_HashMap_Strict.1,6773,288,31,0,53477376
All.Lookup (small).HashMapBL.1,7509,494,31,0,53477376
All.Lookup (small).HashMapBB.1,6393,608,31,0,53477376
All.Lookup (small).HashMapBU.1,6813,408,31,0,53477376
All.Lookup (small).HashMapUL.1,7479,572,32,0,53477376
All.Lookup (small).HashMapUB.1,6927,426,32,0,53477376
All.Lookup (small).HashMapUU.1,7978,1210,31,0,53477376
All.Lookup (small).Data_HashMap_Lazy.2,8932,562,32,0,53477376
All.Lookup (small).Data_HashMap_Strict.2,8733,314,31,0,53477376
All.Lookup (small).HashMapBL.2,8212,404,32,0,53477376
All.Lookup (small).HashMapBB.2,8202,248,31,0,53477376
All.Lookup (small).HashMapBU.2,8049,442,31,0,53477376
All.Lookup (small).HashMapUL.2,8900,654,32,0,53477376
All.Lookup (small).HashMapUB.2,7434,734,32,0,53477376
All.Lookup (small).HashMapUU.2,7850,764,31,0,53477376
All.Lookup (small).Data_HashMap_Lazy.3,7536,560,32,0,53477376
All.Lookup (small).Data_HashMap_Strict.3,7792,392,31,0,53477376
All.Lookup (small).HashMapBL.3,8282,420,32,0,53477376
All.Lookup (small).HashMapBB.3,9063,792,32,0,53477376
All.Lookup (small).HashMapBU.3,7656,712,31,0,53477376
All.Lookup (small).HashMapUL.3,8608,742,31,0,53477376
All.Lookup (small).HashMapUB.3,7860,286,31,0,53477376
All.Lookup (small).HashMapUU.3,7722,432,31,0,53477376
All.Lookup (small).Data_HashMap_Lazy.4,8888,728,32,0,53477376
All.Lookup (small).Data_HashMap_Strict.4,8140,494,31,0,53477376
All.Lookup (small).HashMapBL.4,7907,518,32,0,53477376
All.Lookup (small).HashMapBB.4,8333,444,32,0,53477376
All.Lookup (small).HashMapBU.4,7674,224,31,0,53477376
All.Lookup (small).HashMapUL.4,8148,648,32,0,53477376
All.Lookup (small).HashMapUB.4,8175,490,32,0,53477376
All.Lookup (small).HashMapUU.4,7764,626,31,0,53477376
All.Lookup (small).Data_HashMap_Lazy.5,8016,632,32,0,53477376
All.Lookup (small).Data_HashMap_Strict.5,7671,496,31,0,53477376
All.Lookup (small).HashMapBL.5,7288,362,31,0,53477376
All.Lookup (small).HashMapBB.5,7235,220,31,0,53477376
All.Lookup (small).HashMapBU.5,8591,696,32,0,53477376
All.Lookup (small).HashMapUL.5,9227,502,32,0,53477376
All.Lookup (small).HashMapUB.5,8577,306,31,0,53477376
All.Lookup (small).HashMapUU.5,7843,540,31,0,53477376
All.Lookup (small).Data_HashMap_Lazy.6,7901,394,31,0,53477376
All.Lookup (small).Data_HashMap_Strict.6,8541,358,31,0,53477376
All.Lookup (small).HashMapBL.6,8570,774,32,0,53477376
All.Lookup (small).HashMapBB.6,7872,574,31,0,53477376
All.Lookup (small).HashMapBU.6,9076,812,32,0,53477376
All.Lookup (small).HashMapUL.6,8809,762,31,0,53477376
All.Lookup (small).HashMapUB.6,8040,414,32,0,53477376
All.Lookup (small).HashMapUU.6,7750,170,31,0,53477376
All.Lookup (small).Data_HashMap_Lazy.7,8629,764,32,0,53477376
All.Lookup (small).Data_HashMap_Strict.7,8749,696,31,0,53477376
All.Lookup (small).HashMapBL.7,8092,584,32,0,53477376
All.Lookup (small).HashMapBB.7,7675,366,31,0,53477376
All.Lookup (small).HashMapBU.7,9581,346,32,0,53477376
All.Lookup (small).HashMapUL.7,8150,984,31,0,53477376
All.Lookup (small).HashMapUB.7,8746,408,32,0,53477376
All.Lookup (small).HashMapUU.7,8092,480,31,0,53477376
All.Lookup (small).Data_HashMap_Lazy.8,9010,702,32,0,53477376
All.Lookup (small).Data_HashMap_Strict.8,8086,538,31,0,53477376
All.Lookup (small).HashMapBL.8,9363,672,32,0,53477376
