Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.insert (powers of two).HashMapUB.4,73261,21674,423,0,51380224
All.insert (powers of two).HashMapUU.4,59049,16550,383,0,51380224
All.insert (powers of two).Data_HashMap_Lazy.8,88066,16408,176,0,51380224
All.insert (powers of two).Data_HashMap_Strict.8,87073,17742,176,0,51380224
All.insert (powers of two).HashMapBL.8,85922,20374,488,0,51380224
All.insert (powers of two).HashMapBB.8,77688,18404,488,0,51380224
All.insert (powers of two).HashMapBU.8,71780,15376,488,0,51380224
All.insert (powers of two).HashMapUL.8,75595,13828,488,0,51380224
All.insert (powers of two).HashMapUB.8,63430,19254,488,0,51380224
All.insert (powers of two).HashMapUU.8,61709,13574,447,0,51380224
All.insert (powers of two).Data_HashMap_Lazy.16,142963,33654,240,0,51380224
All.insert (powers of two).Data_HashMap_Strict.16,140304,32974,240,0,51380224
All.insert (powers of two).HashMapBL.16,119207,25756,616,0,51380224
All.insert (powers of two).HashMapBB.16,103987,31234,616,0,51380224
All.insert (powers of two).HashMapBU.16,84659,19260,616,0,51380224
All.insert (powers of two).HashMapUL.16,99601,25608,616,0,51380224
All.insert (powers of two).HashMapUB.16,83837,19384,616,0,51380224
All.insert (powers of two).HashMapUU.16,65634,16452,575,0,51380224
All.insert (powers of two).Data_HashMap_Lazy.32,238570,63364,408,0,51380224
All.insert (powers of two).Data_HashMap_Strict.32,239033,69340,408,0,52428800
All.insert (powers of two).HashMapBL.32,198254,53288,960,1,52428800
All.insert (powers of two).HashMapBB.32,157752,31014,959,1,52428800
All.insert (powers of two).HashMapBU.32,142241,42344,959,1,52428800
All.insert (powers of two).HashMapUL.32,192694,67450,960,1,52428800
All.insert (powers of two).HashMapUB.32,139080,38520,959,1,52428800
All.insert (powers of two).HashMapUU.32,118440,30612,919,0,52428800
All.insert (powers of two).Data_HashMap_Lazy.64,566352,119946,417,0,52428800
All.insert (powers of two).Data_HashMap_Strict.64,560601,132202,417,0,52428800
All.insert (powers of two).HashMapBL.64,330538,73478,816,0,52428800
All.insert (powers of two).HashMapBB.64,278227,67286,816,0,52428800
All.insert (powers of two).HashMapBU.64,216903,57342,816,0,52428800
All.insert (powers of two).HashMapUL.64,266599,57030,816,0,52428800
All.insert (powers of two).HashMapUB.64,218462,61976,816,0,52428800
All.insert (powers of two).HashMapUU.64,102274,31150,775,0,52428800
All.insert (powers of two).Data_HashMap_Lazy.128,984019,254968,434,0,52428800
All.insert (powers of two).Data_HashMap_Strict.128,1007923,207236,434,0,52428800
All.insert (powers of two).HashMapBL.128,455641,115036,848,0,52428800
All.insert (powers of two).HashMapBB.128,327442,61534,847,0,52428800
All.insert (powers of two).HashMapBU.128,248697,55852,847,0,52428800
All.insert (powers of two).HashMapUL.128,367047,77134,847,0,52428800
All.insert (powers of two).HashMapUB.128,241160,65240,847,0,52428800
All.insert (powers of two).HashMapUU.128,108891,26606,807,0,52428800
All.insert (powers of two).Data_HashMap_Lazy.256,1744497,475886,468,0,52428800
All.insert (powers of two).Data_HashMap_Strict.256,1747534,495198,468,0,52428800
All.insert (powers of two).HashMapBL.256,624438,102488,912,0,52428800
All.insert (powers of two).HashMapBB.256,413716,145594,912,0,52428800
All.insert (powers of two).HashMapBU.256,286016,64900,912,0,52428800
All.insert (powers of two).HashMapUL.256,554966,117582,912,0,52428800
All.insert (powers of two).HashMapUB.256,278578,65018,912,0,52428800
All.insert (powers of two).HashMapUU.256,110749,30728,871,0,52428800
All.insert (powers of two).Data_HashMap_Lazy.512,3351074,1101246,537,1,52428800
All.insert (powers of two).Data_HashMap_Strict.512,3459777,860088,537,1,52428800
All.insert (powers of two).HashMapBL.512,1075654,265260,1041,1,52428800
All.insert (powers of two).HashMapBB.512,586869,133004,1040,1,52428800
All.insert (powers of two).HashMapBU.512,398179,113562,1040,1,52428800
All.insert (powers of two).HashMapUL.512,1004696,281016,1041,1,52428800
All.insert (powers of two).HashMapUB.512,378483,56884,1040,1,52428800
All.insert (powers of two).HashMapUU.512,120248,45570,1000,1,52428800
All.insert (powers of two).Data_HashMap_Lazy.1024,6084454,820128,705,1,52428800
All.insert (powers of two).Data_HashMap_Strict.1024,6172363,1878220,715,1,52428800
All.insert (powers of two).HashMapBL.1024,2247567,511780,1388,1,53477376
All.insert (powers of two).HashMapBB.1024,997035,246576,1385,1,53477376
All.insert (powers of two).HashMapBU.1024,600617,124458,1384,1,53477376
All.insert (powers of two).HashMapUL.1024,2006375,471028,1388,1,53477376
All.insert (powers of two).HashMapUB.1024,592285,154800,1384,1,53477376
All.insert (powers of two).HashMapUU.1024,163889,29220,1343,1,53477376
All.Lookup (small).Data_HashMap_Lazy.0,8428,1606,31,0,53477376
All.Lookup (small).Data_HashMap_Strict.0,8184,2086,31,0,53477376
All.Lookup (small).HashMapBL.0,7454,1786,31,0,53477376
All.Lookup (small).HashMapBB.0,7906,2228,31,0,53477376
All.Lookup (small).HashMapBU.0,7760,2694,31,0,53477376
All.Lookup (small).HashMapUL.0,7105,2418,31,0,53477376
All.Lookup (small).HashMapUB.0,7309,2666,31,0,53477376
All.Lookup (small).HashMapUU.0,7543,1982,31,0,53477376
All.Lookup (small).Data_HashMap_Lazy.1,7760,2320,31,0,53477376
All.Lookup (small).Data_HashMap_Strict.1,8391,1644,31,0,53477376
All.Lookup (small).HashMapBL.1,7642,2706,31,0,53477376
All.Lookup (small).HashMapBB.1,7773,1774,31,0,53477376
All.Lookup (small).HashMapBU.1,8021,1774,31,0,53477376
All.Lookup (small).HashMapUL.1,7606,1738,31,0,53477376
All.Lookup (small).HashMapUB.1,7716,1822,31,0,53477376
All.Lookup (small).HashMapUU.1,7745,2008,31,0,53477376
All.Lookup (small).Data_HashMap_Lazy.2,8112,2440,31,0,53477376
All.Lookup (small).Data_HashMap_Strict.2,8079,2202,31,0,53477376
All.Lookup (small).HashMapBL.2,8003,1776,31,0,53477376
All.Lookup (small).HashMapBB.2,8279,2614,31,0,53477376
All.Lookup (small).HashMapBU.2,8380,2738,31,0,53477376
All.Lookup (small).HashMapUL.2,8211,1622,31,0,53477376
All.Lookup (small).HashMapUB.2,8077,2354,31,0,53477376
All.Lookup (small).HashMapUU.2,7895,2148,31,0,53477376
All.Lookup (small).Data_HashMap_Lazy.3,8195,1652,31,0,53477376
All.Lookup (small).Data_HashMap_Strict.3,8299,1606,31,0,53477376
All.Lookup (small).HashMapBL.3,7734,2126,31,0,53477376
All.Lookup (small).HashMapBB.3,8059,1770,31,0,53477376
All.Lookup (small).HashMapBU.3,8479,1982,31,0,53477376
All.Lookup (small).HashMapUL.3,7873,2232,31,0,53477376
All.Lookup (small).HashMapUB.3,7946,1970,31,0,53477376
All.Lookup (small).HashMapUU.3,8057,1664,31,0,53477376
All.Lookup (small).Data_HashMap_Lazy.4,8250,2470,31,0,53477376
All.Lookup (small).Data_HashMap_Strict.4,8184,1982,31,0,53477376
All.Lookup (small).HashMapBL.4,7860,1706,31,0,53477376
All.Lookup (small).HashMapBB.4,8125,1788,31,0,53477376
All.Lookup (small).HashMapBU.4,8149,1684,31,0,53477376
